TYPE,OBJECTID,PROVIDER,REMARKS,SSID
Free,8011,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8258,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8259,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8260,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8261,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8262,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8263,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8264,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8265,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8266,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8267,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8268,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8269,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8270,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8271,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8272,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8273,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8274,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8275,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8276,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8277,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8278,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8279,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8280,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8281,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8282,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8283,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8284,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8285,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8286,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8287,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8288,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8289,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8290,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8291,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8292,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8293,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8294,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8295,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8296,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8297,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8298,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8299,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8300,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8301,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8302,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8303,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8304,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8305,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8306,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8307,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8308,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8309,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8310,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8311,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8312,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8313,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8314,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8315,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8316,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8317,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8318,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8319,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8320,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8321,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8322,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8323,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8324,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8325,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8326,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8327,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8328,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8329,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8012,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8013,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8014,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8015,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8016,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8017,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8018,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8019,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8020,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8021,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8022,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8023,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8024,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8025,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8026,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8027,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8028,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8029,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8030,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8031,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8032,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8033,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8034,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8035,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8036,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8037,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8038,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8039,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8040,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8041,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8042,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8043,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8044,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8045,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8046,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
Free,8047,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi
